tag,patterns,responses
greeting,[,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,',"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,H,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,i,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,',"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,",","['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting, ,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,',"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,H,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,e,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,y,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,',"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,",","['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting, ,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,',"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,I,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,s,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
